n_worlds,synthetic_fraction,activity_multiplier,mean_D,ci95_low,ci95_high,ci95_half_width,absolute_difference_from_final_mean
2000,0.2,15.0,-0.02059260577620133,-0.021786365442727426,-0.01939884610967523,0.0011937596665260982,5.6695777553478904e-05
2000,0.25,1.0,0.000679764432506418,-0.0006896142910413778,0.0020491431560542136,0.0013693787235477958,0.0008889052321827744
2000,0.25,2.0,0.0033860850074097057,0.001781589006422193,0.004990581008397219,0.0016044960009875128,0.00016759465384301063
2000,0.25,3.0,0.0032670798381252146,0.0015600019355248632,0.004974157740725566,0.0017070779026003514,8.606070744942174e-05
2000,0.25,5.0,-0.0001645640990535238,-0.0018376809325404957,0.0015085527344334483,0.001673116833486972,0.00045698746998509615
2000,0.25,7.5,-0.006177994823564132,-0.007687208697805575,-0.004668780949322689,0.0015092138742414426,0.00029345985660290085
2000,0.25,10.0,-0.010348754400622629,-0.011664792263386606,-0.009032716537858651,0.0013160378627639778,0.0003038812109033579
2000,0.25,15.0,-0.015943939322734725,-0.01701955091208313,-0.01486832773338632,0.0010756115893484056,0.0004706372454222167
5000,0.01,1.0,-0.000116023152016708,-0.0003173203015993072,8.527399756589123e-05,0.00020129714958259923,0.00012021997828778223
5000,0.01,2.0,0.0003766744166648025,8.985393097908509e-05,0.00066349490235052,0.0002868204856857174,2.1087994385155363e-05
5000,0.01,3.0,0.00013162803569589766,-0.0002205407211992241,0.0004837967925910194,0.00035216875689512175,0.0002629760159001441
5000,0.01,5.0,-0.00022648130936854988,-0.0006807567862737122,0.00022779416753661243,0.0004542754769051623,0.00019093551035750828
5000,0.01,7.5,-0.001880698049676836,-0.0024426180373721936,-0.0013187780619814788,0.0005619199876953573,0.00019162739512606467
5000,0.01,10.0,-0.0050932939413981864,-0.005734189209558974,-0.004452398673237399,0.0006408952681607876,0.0003547297872195949
5000,0.01,15.0,-0.013638686745259178,-0.01441968621704448,-0.012857687273473875,0.0007809994717853019,7.774038503745653e-05
5000,0.05,1.0,3.456394083166378e-05,-0.000413843967881688,0.0004829718495450155,0.00044840790871335175,4.2953478806785656e-05
5000,0.05,2.0,0.0011926521830238812,0.0005895028717386141,0.0017958014943091484,0.0006031493112852671,7.812226922542854e-05
5000,0.05,3.0,0.0013281087615970228,0.0006003464415937011,0.0020558710816003445,0.0007277623200033217,0.0004713995880287151
5000,0.05,5.0,0.000209133550530006,-0.0006966782898655977,0.0011149453909256096,0.0009058118403956037,0.0004428718377279362
5000,0.05,7.5,-0.005452854315873952,-0.0064938382792885125,-0.0044118703524593916,0.00104098396341456,0.0003037918763222529
5000,0.05,10.0,-0.012511180130819765,-0.013576800162394292,-0.011445560099245237,0.0010656200315745268,0.0005237306603790015
5000,0.05,15.0,-0.03100199633413991,-0.03210328656953256,-0.029900706098747256,0.0011012902353926535,7.542144399602657e-05
5000,0.1,1.0,0.00036397944162449246,-0.0002587871718194697,0.0009867460550684547,0.0006227666134439622,0.00022310471384585475
5000,0.1,2.0,0.0014294754378872938,0.0006427820631928231,0.0022161688125817646,0.0007866933746944707,0.00039083885729916256
