synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,p_holm,reject_holm_0_05
0.25,gini_gap,3.0,15.0,10000,0.03053566785528904,0.03527881933889934,0.030303511601417754,0.02984413199281724,0.03122720371776084,86.55524313881904,0.0,0.8655524313881905,0.8039,0.0,True
0.25,gini_gap,5.0,7.5,10000,0.0053028968329468665,0.03229864116975125,0.005099324852432807,0.004669778460604875,0.005936015205288858,16.418327957131538,8.538037381192271e-60,0.16418327957131537,0.5627,2.390650466733836e-58,True
0.25,gini_gap,7.5,10.0,10000,0.006815834776491235,0.03556818076381932,0.006602939752183734,0.0061186268477117205,0.007513042705270749,19.16273093006894,2.073652306233556e-80,0.19162730930068939,0.5712,7.465148302440802e-79,True
0.25,gini_gap,10.0,15.0,10000,0.016127381756216683,0.03844245252416946,0.015427802704436777,0.015373832316070873,0.016880931196362494,41.952010595778475,0.0,0.4195201059577848,0.6589,0.0,True
0.01,p90_receipt_gap,1.0,2.0,10000,0.4271600000000003,10.977757396214637,1.2000000000000028,0.21197386080211403,0.6423461391978866,3.891140827609236,0.00010042127277796194,0.03891140827609236,0.5525,0.0008033701822236955,True
0.01,p90_receipt_gap,2.0,3.0,10000,-0.0464800000000009,8.529754819531933,0.19999999999988027,-0.21368036175626948,0.12072036175626766,-0.5449160143919761,0.5858234345941561,-0.005449160143919761,0.507,0.6915957023332471,False
0.01,p90_receipt_gap,3.0,5.0,10000,-0.20982000000000067,7.055747722615411,0.0,-0.34812685601664306,-0.07151314398335826,-2.9737457778921974,0.0029489074516829607,-0.029737457778921974,0.4948,0.020642352161780723,True
0.01,p90_receipt_gap,3.0,7.5,10000,-0.8622699999999986,6.7371292356710715,-0.40000000000000924,-0.9943312924094269,-0.7302087075905704,-12.798774816943373,3.2606821602734176e-37,-0.12798774816943373,0.4639,5.217091456437468e-36,True
0.01,p90_receipt_gap,3.0,10.0,10000,-1.5991399999999982,6.601486440395247,-1.0,-1.7285424206224185,-1.469737579377578,-24.223938266610357,5.085120237674563e-126,-0.2422393826661036,0.4187,1.7289408808093514e-124,True
0.01,p90_receipt_gap,3.0,15.0,10000,-2.9589499999999966,6.290975563046921,-2.4000000000000377,-3.082265782480953,-2.8356342175190403,-47.034835381984585,0.0,-0.4703483538198458,0.3236,0.0,True
0.01,p90_receipt_gap,5.0,7.5,10000,-0.6524499999999982,6.077561326113238,-0.5999999999999925,-0.7715824339118328,-0.5333175660881636,-10.735391466913544,9.70765887007071e-27,-0.10735391466913545,0.4485,1.4561488305106065e-25,True
