synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,family,p_holm,reject_holm_0_05
0.01,exposure_minus_production,1.0,5.0,10000,-3.97426252821158e-05,0.017654505147133952,-0.0021568515952378495,-0.000385806458262333,0.0003063212076981014,-0.22511322153126254,0.8218957959202605,-0.0022511322153126252,0.4472,vs_1x,1.0,False
0.01,exposure_minus_production,1.0,7.5,10000,-0.0016932674808218457,0.02161623134886176,-0.003996386605359653,-0.0021169891208695497,-0.0012695458407741417,-7.833314945118811,5.23464171143798e-15,-0.0783331494511881,0.4232,vs_1x,9.945819251732161e-14,True
0.01,exposure_minus_production,1.0,10.0,10000,-0.004742760980449665,0.02413535291625368,-0.007071818414411802,-0.005215862473293544,-0.004269659487605787,-19.650680049744402,2.203055782602233e-84,-0.196506800497444,0.3827,vs_1x,5.507639456505583e-83,True
0.01,exposure_minus_production,1.0,15.0,10000,-0.01372062395656771,0.028748843075263698,-0.016342613029521547,-0.01428415914180555,-0.01315708877132987,-47.72582994260842,0.0,-0.4772582994260842,0.2891,vs_1x,0.0,True
0.05,exposure_minus_production,1.0,2.0,10000,0.0011932570326108603,0.026934180341486647,0.0002560444682730492,0.0006652928892109839,0.0017212211760107366,4.430270449971294,9.511619590015864e-06,0.04430270449971294,0.5047,vs_1x,8.560457631014277e-05,True
0.05,exposure_minus_production,1.0,3.0,10000,0.0017219909299872884,0.030454681354761218,0.0006647208354900319,0.0011250178812394012,0.0023189639787351756,5.654273344475746,1.6080272119245278e-08,0.05654273344475746,0.5088,vs_1x,1.9296326543094335e-07,True
0.05,exposure_minus_production,1.0,5.0,10000,0.0005744879686194927,0.03572799169401269,5.9433925701599805e-05,-0.00012585257603307755,0.0012748285132720629,1.6079492335858487,0.10787787001786023,0.016079492335858488,0.5007,vs_1x,0.6472672201071614,False
0.05,exposure_minus_production,1.0,7.5,10000,-0.005226579859190149,0.03969836692917301,-0.006098275429317693,-0.006004747749372841,-0.004448411969007457,-13.165730138257425,2.929140908614602e-39,-0.13165730138257425,0.4379,vs_1x,5.858281817229203e-38,True
0.05,exposure_minus_production,1.0,10.0,10000,-0.013112428210837215,0.0413477257391241,-0.01355394127437469,-0.013922926853254218,-0.012301929568420212,-31.712574214039435,2.1686276916355467e-210,-0.31712574214039435,0.3752,vs_1x,6.07215753657953e-209,True
0.05,exposure_minus_production,1.0,15.0,10000,-0.031004092309782332,0.0420809296923461,-0.03178602686736709,-0.03182896322535531,-0.03017922139420935,-73.6772988060231,0.0,-0.736772988060231,0.2326,vs_1x,0.0,True
0.1,exposure_minus_production,1.0,2.0,10000,0.0016794395674078189,0.035636665267542986,0.0011972423630050022,0.000980889204520928,0.00237798993029471,4.712673183080943,2.477876632475778e-06,0.04712673183080943,0.5154,vs_1x,2.7256642957233557e-05,True
0.1,exposure_minus_production,1.0,3.0,10000,0.0017999365544540155,0.039199905602675875,0.0015496263052077464,0.001031539509491984,0.002568333599416047,4.591685941027235,4.450470637740888e-06,0.04591685941027235,0.5168,vs_1x,4.450470637740888e-05,True
0.1,exposure_minus_production,1.0,5.0,10000,0.0001612353261775161,0.04385594901093748,0.00023454934395934074,-0.0006984295405080183,0.0010209001928630505,0.3676475593705764,0.7131438288210622,0.0036764755937057645,0.5018,vs_1x,1.0,False
0.1,exposure_minus_production,1.0,7.5,10000,-0.007021852110074435,0.04497748777574295,-0.007245564308754858,-0.00790350139379969,-0.00614020282634918,-15.61192600414963,2.6358020119276285e-54,-0.1561192600414963,0.4354,vs_1x,6.062344627433545e-53,True
0.1,exposure_minus_production,1.0,10.0,10000,-0.015281897560397604,0.044636789804800125,-0.015187270259914058,-0.016156868478191304,-0.014406926642603903,-34.23610350839842,5.203113877962835e-243,-0.3423610350839842,0.3702,vs_1x,1.5609341633888504e-241,True
0.1,exposure_minus_production,1.0,15.0,10000,-0.03019012801387106,0.041703565150189484,-0.02989054778115753,-0.031007601824920232,-0.02937265420282189,-72.39219933630517,0.0,-0.7239219933630516,0.2351,vs_1x,0.0,True
0.15,exposure_minus_production,1.0,2.0,10000,0.002798788304458703,0.041762253242421214,0.0027438770027195386,0.001980164088684011,0.003617412520233395,6.701717668853541,2.1708757528428897e-11,0.06701717668853541,0.5272,vs_1x,2.8221384786957564e-10,True
0.15,exposure_minus_production,1.0,3.0,10000,0.003141152399750119,0.04521902379431745,0.003215444835382053,0.0022547685239366665,0.004027536275563572,6.946528554083601,3.977005157962804e-12,0.069465285540836,0.5305,vs_1x,6.363208252740487e-11,True
0.15,exposure_minus_production,1.0,5.0,10000,-0.00029534815964699286,0.04755660905680649,0.0003130259244020356,-0.0012275534113139826,0.0006368570920199968,-0.6210454561514231,0.5345838717498774,-0.006210454561514231,0.5037,vs_1x,1.0,False
0.15,exposure_minus_production,1.0,7.5,10000,-0.00744714899758509,0.04663287246240889,-0.007545883105871079,-0.008361247152856164,-0.006533050842314015,-15.969741095379216,1.0405178071353522e-56,-0.15969741095379217,0.4393,vs_1x,2.4972427371248454e-55,True
0.15,exposure_minus_production,1.0,10.0,10000,-0.0145758600646401,0.04454561325480842,-0.014693674305186824,-0.015449043738548737,-0.013702676390731463,-32.72120193129618,3.4590779335937145e-223,-0.3272120193129618,0.3743,vs_1x,1.0031326007421772e-221,True
0.15,exposure_minus_production,1.0,15.0,10000,-0.025541784812694538,0.04071273766434758,-0.025365246311983267,-0.02633983641084593,-0.024743733214543148,-62.73659370016193,0.0,-0.6273659370016192,0.2706,vs_1x,0.0,True
0.2,exposure_minus_production,1.0,2.0,10000,0.0031524837248349882,0.04564729186408581,0.00400512056200561,0.0022577049329062493,0.004047262516763727,6.9061790877352935,5.281690135581964e-12,0.06906179087735294,0.5367,vs_1x,7.922535203372947e-11,True
0.2,exposure_minus_production,1.0,3.0,10000,0.0036173068769214927,0.04821130599691792,0.004216174689813626,0.0026722682475615487,0.004562345506281437,7.503026110001546,6.767172356559113e-14,0.07503026110001546,0.5341,vs_1x,1.1504193006150492e-12,True
0.2,exposure_minus_production,1.0,5.0,10000,-0.00034081687380007144,0.04844844374345983,0.0006814078087451492,-0.0012905038802642533,0.0006088701326641105,-0.7034629958492302,0.4817836392113273,-0.007034629958492302,0.505,vs_1x,1.0,False
0.2,exposure_minus_production,1.0,7.5,10000,-0.007038772186071174,0.046623084935171255,-0.006000096467696683,-0.007952678486109659,-0.006124865886032688,-15.097182427671802,6.143863272563035e-51,-0.15097182427671801,0.4512,vs_1x,1.3516499199638678e-49,True
